,2922 Closed Bottom Temperature - Downstream Working End (PV),2918 Closed Bottom Temperature - Port 6 (PV),2921 Closed Bottom Temperature - Upstream Working End (PV),2923 Filling Pocket Closed Bottom Temperature Centre (PV),10091 Furnace Load,7546 Open Crown Temperature - Port 1 (PV),7746 Open Crown Temperature - Port 2 (PV),7522 Open Crown Temperature - Port 4 (PV),7483 Open Crown Temperature - Port 6 (PV),10271 C9 (T012) Upstream Refiner,7520 Open Crown Temperature - Upstream Working End (PV),9400 Port 2 Gas Flow (SP),9282 Tweel Position,11384 Wobbe Index (Incoming Gas)
0,68,111,136,66,90,91,68,97,55,83,15,47,20,140
1,37,123,114,171,124,63,84,54,47,66,17,51,25,149
2,66,149,127,130,82,52,49,206,24,84,86,52,20,130
3,35,103,131,88,98,93,125,90,57,69,102,49,26,141
4,89,197,163,139,106,41,58,154,58,74,7,51,21,133
5,89,93,123,78,111,64,123,128,42,98,49,38,16,143
6,24,153,149,66,95,90,101,206,25,62,94,39,27,162
7,81,193,137,49,92,50,57,111,36,70,67,42,27,163
8,74,191,141,59,82,68,65,206,56,81,41,48,14,131
9,48,124,136,192,120,84,61,191,39,97,19,40,22,145
10,71,137,87,26,114,61,77,196,58,55,31,49,22,124
11,16,188,131,109,94,56,99,101,37,94,64,46,26,150
12,31,161,107,58,132,41,79,105,24,69,24,49,18,145
13,18,163,104,158,82,88,87,63,46,86,10,41,19,126
14,55,96,161,60,97,79,63,49,38,60,100,49,23,156
15,46,137,118,39,77,87,108,68,28,70,57,43,18,139
16,61,117,148,61,82,36,91,80,55,96,18,49,17,141
17,68,183,142,106,90,69,65,156,49,87,12,39,23,132
18,21,184,155,151,90,102,103,172,35,62,31,38,25,130
19,25,93,89,106,67,76,81,119,23,100,55,42,27,148
